cyrillic,meaning
нах̌тойд,добираться
нах̌тойд,выходить из печати
нах̌тойд,"выходить, получаться в итоге (при подсчете, взвешивании)"
нах̌тойд,"оказываться, обнаруживаться"
нах̌тойд,"оканчиваться, проходить, быть на исходе (о времени)"
нах̌тойд,уходить (от мужа)
ағ̌ойд,лежать (о скоте)
цировд,"жечь, саднить"
киройд,"истекать, вытекать"
мод,умирать
нах̌фāд,"вывихиваться, выдергиваться"
нах̌тойд,выходить
нағ̌ҷāд,"переходить, проходить"
ниδовд,"прилепляться, приклеиваться, приставать"
нихах̌т,разрушаться
ност,"сидеть, садиться, пребывать, оставаться, ждать, поджидать"
пад,"гнить, портиться, тлеть"
пиδовд,"начинать, приниматься за..., приставать к..."
пирост,"рвать, разрывать"
пишад,"утешаться, затихать"
риwах̌т,летать
сат,"отправляться, идти, уходить, уехать, уезжать; делаться, становиться"
сатт,"отправляться, идти, уходить, уехать, уезжать; делаться, становиться"
сифāд,подниматься
тах̌т,драться (преимущественно о собаках и др. животных)
тойд,"идти, ехать"
тойд,"копить, откладывать, запасать"
вад,быть
вирах̌т,"ломаться, разбиваться"
wировд,"вставать, стоять"
х̌икафт,"расцветать, распускаться"
зибад,прыгать
зидах̌т,"рваться, ломаться"
зийах̌т,"увядать, засыхать"
θад,"гореть, зажигаться"
