пиδӣвӡ[f]                # драться, сцепляться; липнуть, клеиться, прилипать; начинать, приступать (чаще с кратким инфинитивом); приставать (о заразе, болезни), заражаться
пирмӣғ̌ӡ[f]              # вянуть, увядать; сохнуть; терять силы; слабеть; становиться вялым
пирхих̌ц[f]              # болеть повторно (рецидив болезни)
пирӣсц[f]                # протекать; капать; просачиваться, прорываться (о воде); проходить, прекращаться; рваться, разрываться
пиц[f]                   # портиться; гнить; тлеть; свертываться (о молоке); чернеть; покрываться синяками
пишиц[f]                 # утешаться; развлекаться, отвлекаться, заниматься чем-л.
рацӣсц[f]                # бежать; убегать, сбегать
риwих̌ц[f]               # летать; улетать, взлетать
рихих̌ц[f]               # разрушаться, обваливаться; спускаться; опускаться
рицӣсц[f]                # бежать; убегать, сбегать; убегать
сикихц[f]                # спасаться; уцелевать, выживать, выздоравливать
сириц[f]                 # отделяться, выделяться; перестать сосать грудь, отказываться от груди; сворачиваться (о молочных продуктах)
ситӣвӡ[f]                # горевать, огорчаться, убиваться; жариться, поджариваться; испытывать жажду, хотеть пить
сифӣц[f]                 # достигать какого-л. уровня; подниматься; преуспевать, расти (в должности)
сиц[f]                   # (редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением; (с предлогом тар) походить на кого-либо, удаваться в кого-либо; быть, приходиться кем-л. кому-л.; быть, происходить, случаться; водиться, встречаться; произрастать; вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м); вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод); деваться, пропадать; идти, ехать, отправляться; доходить (до предела); наступать, исполняться; проходить; получаться, выходить; попадать; появляться, возникать; рождаться; становиться, делаться, превращаться; тк. в форме су́т-ат(ā) (подчинительный союз) если
тарч[f]                  # испускать газы; орать, кричать; тарахтеть, трещать, шуметь
тих̌ц[f]                 # драться
тӣц[f]                   # дуть (о ветре); идти (о времени); идти, течь, струиться (о потоке и т. п.); идти; ходить, ездить; отправляться, уезжать, улетать; иметь течь, течь; исходить, распространяться; ходить (о часах)
фах̌ч[f]                 # молчать, сердиться, дуться; пыхтеть, тяжело дышать, часто дышать
фингч[f]                 # тихо ржать (о лошади)
фириц[f]                 # прополаскиваться начисто, отмываться
х̌êвӡ[f]                 # спать, засыпать, ночевать; лежать, ложиться
х̌икифц[f]               # расцветать; распускаться; хорошеть, расцветать
х̌ицêц[f]                # мерзнуть, замерзать; простуживаться
царч[f]                  # капать, моросить, шуршать (напр., об осадках); шуршать, шелестеть; царапаться
цирӣвӡ[f]                # горевать, тосковать, печалиться; скорбеть; саднить, щипать, нащипывать, гореть, жечь, болеть
чӣғ̌ӡ[f]                 # (противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения; варить, готовить; печь; делать что-л. чем-л.; превращать; делать, выбирать, избирать (кем-л.); назначать; делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.); делать, поступать (определенным образом); заниматься чем-л.; класть; помещать; сыпать; лить; одевать, надевать; приготовлять; заготовлять; справлять, собирать; сост. часть сложных глаголов; строить
шитарч[f]                # громко испускать ветры; кричать, горланить, орать
ғатч[f]                  # гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах); сердито бормотать, ворчать, бурчать
ғибих̌ц[f]               # кончаться, заканчиваться (о вязании); прекращать рост; оставаться на одном и том же уровне
қатч[f]                  # кудахтать; кукарекать
ӡарч[f]                  # испускать газы
